ID,score1,score2,score3,score4
1,0,0,0,0
2,0,0,0,0
3,0,2,0,0
4,4,0,0,0
5,0,0,0,0
6,0,0,0,0
7,0,0,0,0
8,0,0,0,0
9,0,1,0,0
10,0,0,0,0
11,0,0,0,0
12,0,0,1,1
13,0,0,2,1
14,0,0,0,0
15,0,0,0,0
16,0,1,0,0
17,0,0,0,0
18,2,6,0,0
19,0,0,0,0
20,0,0,0,1
21,1,0,0,0
22,0,0,0,1
23,0,0,0,0
24,2,0,2,4
25,0,2,0,0
26,0,0,0,0
27,0,0,0,0
28,0,0,0,2
29,0,0,0,0
30,0,0,4,5
31,0,0,0,0
32,1,0,0,0
33,0,0,-1,-2
34,0,2,0,0
35,0,0,0,0
36,0,0,0,0
37,0,0,0,0
38,0,1,0,2
39,0,1,0,0
40,0,0,0,0
41,0,1,0,1
42,0,1,4,0
43,0,0,0,0
44,0,0,0,0
45,0,0,0,0
46,2,0,0,0
47,1,0,12,0
48,4,3,1,2
49,0,0,0,0
50,0,0,-2,0
51,1,0,0,0
52,1,5,5,6
53,0,0,3,0
54,4,0,0,4
55,0,0,0,0
56,0,0,1,0
57,0,0,0,0
58,0,0,0,0
59,1,0,1,0
60,0,0,0,0
61,0,0,1,0
62,4,0,1,1
63,2,0,0,0
64,0,0,3,3
65,0,0,0,0
66,0,0,0,0
67,1,1,2,2
68,0,0,0,2
69,0,0,0,0
70,0,0,0,0
71,0,1,0,1
72,0,1,0,0
73,0,0,0,2
74,0,0,0,0
75,0,0,0,0
76,0,0,0,0
77,0,0,0,0
78,2,0,0,0
79,0,0,0,0
80,0,0,1,1
81,1,2,1,1
82,0,0,1,0
83,1,0,0,0
84,0,0,2,0
85,11,11,11,0
86,0,1,0,0
87,0,0,0,0
88,0,0,-1,-3
89,0,0,0,0
90,0,0,0,0
91,0,0,0,0
92,0,0,0,0
93,0,0,0,0
94,0,0,1,3
95,0,0,0,0
96,2,0,0,0
97,0,1,2,3
98,0,0,0,0
99,0,0,1,1
100,0,0,0,0
101,0,0,0,0
102,0,1,0,0
103,0,0,0,0
104,0,0,5,0
